Ecoli,Gex,g6p,f6p,fdp,gap,dhap,pgp,3pg,2pg,pep,pyr,6pg,ribu5p,xyl5p,sed7p,rib5p,e4p,g1p
Gex,-0.055488,0.0031768,0,0,0,0,0,0,0,-0.0011579,0.0011555,0,0,0,0,0,0,0
g6p,3.5953,-33.86,194.85,0,0,0,0,0,0,0.075062,-0.074907,0.039653,0,0,0,0,0,0.082222
f6p,0,33.607,-199.07,0,-2.1862,0,0,0,0,0.10794,0,-0.039653,0,8.453,2.3593,0,5.7148,0
fdp,0,0,1.3323,-7.2992,8.6004,11.186,0,0,0,-0.10794,0,0,0,0,0,0,0,0
gap,0,0,-0.86728,7.2992,-30.603,2.544,40.169,0,0,0,0,0,0,12.215,-4.0725,1.3045,18.123,0
dhap,0,0,0,7.2992,1.5579,-24.924,0,0,0,0,0,0,0,0,0,0,0,0
pgp,0,0,0,0,1.4785,0,-3448.3,12.769,0,0,0,0,0,0,0,0,0,0
3pg,0,0,0,0,0,0,3408.1,-47.703,186.49,0,0,0,0,0,0,0,0,0
2pg,0,0,0,0,0,0,0,34.931,-320.14,19.968,0,0,0,0,0,0,0,0
pep,-3.5953,0.20594,0,-0.011919,0,0,0,0,133.65,-20.056,0.074907,0,0,0,0,0,-0.17009,0
pyr,3.5953,-0.20594,0,9.86E-06,0,0,0,0,0,0.076559,-0.33118,0,0,0,0,0,0,0
6pg,0,0.032284,0,0,0,0,0,0,0,0,0,-0.16903,0,0,0,0,0,0
ribu5p,0,0,0,0,0,0,0,0,0,0,0,0.169,-11.577,4.8136,0,1.2096,0,0
xyl5p,0,0,1.8784,0,7.3653,0,0,0,0,0,0,0,6.739,-17.029,1.7132,-1.3045,-11.919,0
sed7p,0,0,1.0111,0,-5.1791,0,0,0,0,0,0,0,0,3.7623,-4.0725,1.3045,6.204,0
rib5p,0,0,0,0,2.1787,0,0,0,0,0,0,0,4.8384,-3.7623,1.7132,-2.5193,0,0
e4p,0,0,0.86728,0,8.1869,0,0,0,0,-3.46E-06,0,0,0,-8.453,2.3593,0,-18.293,0
g1p,0,0.015434,0,-0.007432,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085175
